Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.02527,-5.5511E-17,0.44,0,0,0,122.44,4.8934,4.7307E-16,7.5918E-17,11.325,-4.8804E-17,15.407,0,0,0,0,0,0,package://optimus_front/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front/meshes/base_link.STL,,main_chassis_front-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_outer_wheel_connector_link,0.32228,-0.1,-1.5632E-17,0,0,0,27.916,0.19555,-5.5199E-17,1.6328E-16,1.4236,4.1633E-19,1.4141,0,0,0,0,0,0,package://optimus_front/meshes/FR_outer_wheel_connector_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front/meshes/FR_outer_wheel_connector_link.STL,,main_connector-5,Origin_FR_outer_wheel_connector_joint,Axis_FR_outer_wheel_connector_joint,FR_outer_wheel_connector_joint,revolute,0.4,-0.3,0.44,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
FR_outer_wheel_link,-3.1136E-06,-0.51235,-8.1188E-07,0,0,0,41.762,2.9874,-7.3894E-06,4.6203E-06,4.6324,-1.9206E-06,2.9874,0,0,0,0,0,0,package://optimus_front/meshes/FR_outer_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front/meshes/FR_outer_wheel_link.STL,,wheel_outer_asmb-1/shaft_outer-1;wheel_outer_asmb-1/wheel2-1,Origin_FR_outer_wheel_joint,Axis_FR_outer_wheel_joint,FR_outer_wheel_joint,continuous,0.6,0,0,0,0,0,FR_outer_wheel_connector_link,0,-1,0,,,,,,,,,,,,
FL_outer_wheel_connector_link,0.32228,0.1,-4.4016E-17,0,0,0,27.916,0.19555,-2.088E-17,7.16E-17,1.4236,2.0447E-17,1.4141,0,0,0,0,0,0,package://optimus_front/meshes/FL_outer_wheel_connector_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front/meshes/FL_outer_wheel_connector_link.STL,,main_connector-6,Origin_FL_outer_wheel_connector_joint,Axis_FL_outer_wheel_connector_joint,FL_outer_wheel_connector_joint,revolute,0.4,0.3,0.44,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
FL_outer_wheel_link,-1.331E-06,0.51235,-2.9296E-06,0,0,0,41.762,2.9874,3.1528E-06,7.1398E-06,4.6324,6.9536E-06,2.9874,0,0,0,0,0,0,package://optimus_front/meshes/FL_outer_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front/meshes/FL_outer_wheel_link.STL,,wheel_outer_asmb-2/shaft_outer-1;wheel_outer_asmb-2/wheel2-1,Origin_FL_outer_wheel_joint,Axis_FL_outer_wheel_joint,FL_outer_wheel_joint,continuous,0.6,0,0,0,0,0,FL_outer_wheel_connector_link,0,1,0,,,,,,,,,,,,
FR_inner_wheel_connector_link,0.12462,-0.034175,-4.7957E-18,0,0,0,2.8575,0.0058124,0.00029364,-6.7493E-20,0.040326,-1.441E-19,0.035811,0,0,0,0,0,0,package://optimus_front/meshes/FR_inner_wheel_connector_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front/meshes/FR_inner_wheel_connector_link.STL,,inner_wheel_C-1,Origin_FR_inner_wheel_connector_joint,Axis_FR_inner_wheel_connector_joint,FR_inner_wheel_connector_joint,revolute,-0.25,-0.3,0.44,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
FR_inner_wheel_link,2.038E-06,-0.12256,-2.6606E-06,0,0,0,5.005,0.092407,1.4492E-07,-2.8633E-07,0.14472,-1.8954E-07,0.092407,0,0,0,0,0,0,package://optimus_front/meshes/FR_inner_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front/meshes/FR_inner_wheel_link.STL,,wheel_inner_asmb-1/shaft_inner-1;wheel_inner_asmb-1/wheel_inner-1,Origin_FR_inner_wheel_joint,Axis_FR_inner_wheel_joint,FR_inner_wheel_joint,continuous,0.22,-0.06,0,0,0,0,FR_inner_wheel_connector_link,0,-1,0,,,,,,,,,,,,
FL_inner_wheel_connector_link,0.12462,0.034175,-5.101E-17,0,0,0,2.8575,0.0058124,-0.00029364,-8.4277E-19,0.040326,1.5116E-19,0.035811,0,0,0,0,0,0,package://optimus_front/meshes/FL_inner_wheel_connector_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front/meshes/FL_inner_wheel_connector_link.STL,,inner_wheel_C-2,Origin_FL_inner_wheel_connector_joint,Axis_FL_inner_wheel_connector_joint,FL_inner_wheel_connector_joint,revolute,-0.25,0.3,0.44,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
FL_inner_wheel_link,2.3339E-06,0.12256,2.4053E-06,0,0,0,5.005,0.092407,-1.66E-07,2.9659E-07,0.14472,-1.7138E-07,0.092407,0,0,0,0,0,0,package://optimus_front/meshes/FL_inner_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front/meshes/FL_inner_wheel_link.STL,,wheel_inner_asmb-2/wheel_inner-1;wheel_inner_asmb-2/shaft_inner-1,Origin_FL_inner_wheel_joint,Axis_FL_inner_wheel_joint,FR_inner_wheel_joint,continuous,0.22,0.06,0,0,0,0,FL_inner_wheel_connector_link,0,1,0,,,,,,,,,,,,
docker_link,0.0045718,-5.5511E-17,-0.1,0,0,0,21.989,0.74725,-2.5019E-17,1.0257E-17,0.14701,-3.4694E-17,0.74767,0,0,0,0,0,0,package://optimus_front/meshes/docker_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front/meshes/docker_link.STL,,lock_block-1,Origin_docker_joint,,docker_joint,fixed,-0.5,0,0.74,0,0,0,base_link,0,0,0,,,,,,,,,,,,
R_docker_shaft_link,0,0,-0.1,0,0,0,1.0053,0.0037532,-4.6587E-20,-4.5175E-20,0.0037532,5.9411E-36,0.00080425,0,0,0,0,0,0,package://optimus_front/meshes/R_docker_shaft_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front/meshes/R_docker_shaft_link.STL,,lock_shaft-1,Origin_R_docker_shaft_joint,Axis_R_docker_shaft_joint,R_docker_shaft_joint,prismatic,-0.05,-0.15,0,0,0,0,docker_link,0,0,1,0,0,0,0,,,,,,,,
L_docker_shaft_link,0,-1.1102E-16,-0.1,0,0,0,1.0053,0.0037532,-1.0588E-21,4.3507E-36,0.0037532,1.177E-35,0.00080425,0,0,0,0,0,0,package://optimus_front/meshes/L_docker_shaft_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front/meshes/L_docker_shaft_link.STL,,lock_shaft-2,Origin_L_docker_shaft_joint,Axis_L_docker_shaft_joint,L_docker_shaft_joint,prismatic,-0.05,0.15,0,0,0,0,docker_link,0,0,1,0,0,0,0,,,,,,,,
