Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.02527,-5.6758E-18,0.3,0,0,0,122.44,4.8934,-7.3008E-17,-4.0117E-16,15.407,2.0119E-16,11.325,0,0,0,0,0,0,package://optimus_front_down/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front_down/meshes/base_link.STL,,main_chassis_front-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_outer_wheel_connector_link,0.322282451468766,-0.1,2.38352095543413E-17,0,0,0,27.9159295503332,0.195546159327483,-5.51991460593637E-17,1.4203553273733E-17,1.42355930878676,4.16333634234392E-19,1.4141193464615,0,0,0,0,0,0,package://optimus_front_down/meshes/FR_outer_wheel_connector_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://optimus_front_down/meshes/FR_outer_wheel_connector_link.STL,,main_connector-5,Origin_FR_outer_wheel_connector_joint,Axis_FR_outer_wheel_connector_joint,FR_outer_wheel_connector_joint,revolute,0.4,-0.3,0,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
FR_outer_wheel_link,2.18856437395054E-06,-0.512347882208055,2.35883896340653E-06,0,0,0,41.7619829259394,2.98739844435001,5.19731246049959E-06,9.47049445565518E-06,4.63242150319623,5.59291085026648E-06,2.98739982714818,0,0,0,0,0,0,package://optimus_front_down/meshes/FR_outer_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://optimus_front_down/meshes/FR_outer_wheel_link.STL,,wheel_outer_asmb-1/shaft_outer-1;wheel_outer_asmb-1/wheel2-1,Origin_FR_outer_wheel_joint,Axis_FR_outer_wheel_joint,FR_outer_wheel_joint,continuous,0.6,0,0,0,0,0,FR_outer_wheel_connector_link,0,-1,0,,,,,,,,,,,,
FL_outer_wheel_connector_link,0.322282451468765,0.1,5.3569245319562E-17,0,0,0,27.9159295503333,0.195546159327483,-2.09846168286331E-17,7.16001224236828E-17,1.42355930878677,2.044660737018E-17,1.4141193464615,0,0,0,0,0,0,package://optimus_front_down/meshes/FL_outer_wheel_connector_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://optimus_front_down/meshes/FL_outer_wheel_connector_link.STL,,main_connector-6,Origin_FL_outer_wheel_connector_joint,Axis_FL_outer_wheel_connector_joint,FL_outer_wheel_connector_joint,revolute,0.4,0.3,0,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
FL_outer_wheel_link,-1.93900962541793E-06,0.512347882001405,2.56779508268048E-06,0,0,0,41.7619827337532,2.98739655561663,4.60587625730364E-06,-9.13843104496429E-06,4.63242150289247,-6.08912613205442E-06,2.98740171544462,0,0,0,0,0,0,package://optimus_front_down/meshes/FL_outer_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://optimus_front_down/meshes/FL_outer_wheel_link.STL,,wheel_outer_asmb-2/shaft_outer-1;wheel_outer_asmb-2/wheel2-1,Origin_FL_outer_wheel_joint,Axis_FL_outer_wheel_joint,FL_outer_wheel_joint,continuous,0.6,0,0,0,0,0,FL_outer_wheel_connector_link,0,1,0,,,,,,,,,,,,
FR_inner_wheel_connector_link,0,-0.034175,-0.12462,0,0,0,2.8575,0.035811,-2.7361E-21,2.9604E-19,0.040326,-0.00029364,0.0058124,0,0,0,0,0,0,package://optimus_front_down/meshes/FR_inner_wheel_connector_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front_down/meshes/FR_inner_wheel_connector_link.STL,,inner_wheel_C-1,Origin_FR_inner_wheel_connector_joint,Axis_FR_inner_wheel_connector_joint,FR_inner_wheel_connector_joint,revolute,-0.25,-0.3,0,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
FR_inner_wheel_link,3.1417E-07,-0.12256,-3.3367E-06,0,0,0,5.005,0.092406,2.2156E-08,-5.4838E-08,0.14472,-2.3756E-07,0.092407,0,0,0,0,0,0,package://optimus_front_down/meshes/FR_inner_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://optimus_front_down/meshes/FR_inner_wheel_link.STL,,wheel_inner_asmb-1/shaft_inner-1;wheel_inner_asmb-1/wheel_inner-1,Origin_FR_inner_wheel_joint,Axis_FR_inner_wheel_joint,FR_inner_wheel_joint,continuous,0,-0.06,-0.22,0,0,0,FR_inner_wheel_connector_link,0,-1,0,,,,,,,,,,,,
FL_inner_wheel_connector_link,0,0.0341754333918177,-0.124624737169442,0,0,0,2.85749443017902,0.03581067609395,2.2681718422821E-19,7.26756049753325E-19,0.0403263961411894,0.000293640119060309,0.00581241279075831,0,0,0,0,0,0,package://optimus_front_down/meshes/FL_inner_wheel_connector_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://optimus_front_down/meshes/FL_inner_wheel_connector_link.STL,,inner_wheel_C-2,Origin_FL_inner_wheel_connector_joint,Axis_FL_inner_wheel_connector_joint,FL_inner_wheel_connector_joint,revolute,-0.25,0.3,0,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
FL_inner_wheel_link,3.34954893538297E-06,0.122556779088173,1.14327129707714E-07,0,0,0,5.00504892402156,0.0924069629896759,-2.38446525583343E-07,2.07915727398644E-08,0.144720367920823,-8.34954545501746E-09,0.0924063709688521,0,0,0,0,0,0,package://optimus_front_down/meshes/FL_inner_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://optimus_front_down/meshes/FL_inner_wheel_link.STL,,wheel_inner_asmb-2/wheel_inner-1;wheel_inner_asmb-2/shaft_inner-1,Origin_FL_inner_wheel_joint,Axis_FL_inner_wheel_joint,FL_inner_wheel_joint,continuous,0,0.06,-0.22,0,0,0,FL_inner_wheel_connector_link,0,1,0,,,,,,,,,,,,
docker_link,0.00457179609915487,-5.55111512312578E-17,-0.1,0,0,0,21.9893807017026,0.747254753741331,-2.50188335491672E-17,1.02569795042368E-17,0.147007532634037,-3.46944695195361E-17,0.747666415030684,0,0,0,0,0,0,package://optimus_front_down/meshes/docker_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://optimus_front_down/meshes/docker_link.STL,,lock_block-1,Origin_docker_joint,,docker_joint,fixed,-0.5,0,0.3,0,0,0,base_link,0,0,0,,,,,,,,,,,,
R_docker_shaft_link,0,0,-0.1,0,0,0,1.00530964914873,0.00375315602348861,-4.65868120989865E-20,-4.51750905202294E-20,0.00375315602348861,5.94108282522193E-36,0.000804247719318987,0,0,0,0,0,0,package://optimus_front_down/meshes/R_docker_shaft_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://optimus_front_down/meshes/R_docker_shaft_link.STL,,lock_shaft-1,Origin_R_docker_shaft_joint,Axis_R_docker_shaft_joint,R_docker_shaft_joint,prismatic,-0.05,-0.15,0,0,0,0,docker_link,0,0,1,0,0,0,0,,,,,,,,
L_docker_shaft_link,0,-1.11022302462516E-16,-0.1,0,0,0,1.00530964914873,0.00375315602348861,-1.05879118406788E-21,4.35072173462046E-36,0.00375315602348861,1.17695383951691E-35,0.000804247719318987,0,0,0,0,0,0,package://optimus_front_down/meshes/L_docker_shaft_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://optimus_front_down/meshes/L_docker_shaft_link.STL,,lock_shaft-2,Origin_L_docker_shaft_joint,Axis_L_docker_shaft_joint,L_docker_shaft_joint,prismatic,-0.05,0.15,0,0,0,0,docker_link,0,0,1,0,0,0,0,,,,,,,,
